feature,n,sorting policy,FORUM,nDCG,AUC
smog,10,pin-pred-lr_pinned_rl,0.15263423,0.49308565,0.5763171
smog,10,pin-pred-lr_pinned_rt,0.042000983,0.43779662,0.5210005
smog,10,pin-pred-lr_rh,0.15357308,0.49365607,0.5767865
smog,10,pin-pred-lr_rl,0.15357308,0.49365607,0.5767865
smog,10,pin-pred-lr_rt,0.048378322,0.44105008,0.5241892
smog,10,pin-pred-xgb_pinned_rh,0.16546686,0.49955612,0.58273345
smog,10,pin-pred-xgb_pinned_rl,0.16691786,0.50030553,0.58345896
smog,10,pin-pred-xgb_pinned_rt,0.049376152,0.44153163,0.52468807
smog,10,pin-pred-xgb_rh,0.16736521,0.5005648,0.5836826
smog,10,pin-pred-xgb_rl,0.16883472,0.50132436,0.58441734
smog,10,pin-pred-xgb_rt,0.05415049,0.443916,0.52707523
smog,10,pos-abs_pinned_rh,0.11427982,0.473539,0.55713993
smog,10,pos-abs_pinned_rl,0.107379235,0.4700494,0.5536896
smog,10,pos-abs_pinned_rt,0.022303555,0.4281774,0.5111518
smog,10,pos-abs_rh,0.109576344,0.4711977,0.5547882
smog,10,pos-abs_rl,0.10188659,0.46730322,0.55094326
smog,10,pos-abs_rt,0.011678065,0.4231219,0.50583905
smog,10,pos-rel_pinned_rh,0.11281992,0.47283995,0.55640996
smog,10,pos-rel_pinned_rl,0.10523576,0.4689998,0.55261785
smog,10,pos-rel_pinned_rt,0.02060034,0.4273731,0.51030016
smog,10,pos-rel_rh,0.1070516,0.4699637,0.5535258
smog,10,pos-rel_rl,0.09868808,0.4657256,0.54934406
smog,10,pos-rel_rt,0.009763719,0.4222069,0.50488186
smog,10,pred-nb_pinned_rh,0.22635178,0.53184307,0.61317587
smog,10,pred-nb_pinned_rl,0.22645919,0.53189623,0.6132296
smog,10,pred-nb_pinned_rt,0.07076076,0.45245153,0.53538036
smog,10,pred-nb_rh,0.23646429,0.5370858,0.6182322
smog,10,pred-nb_rl,0.23657238,0.5371395,0.6182862
smog,10,pred-nb_rt,0.08668647,0.46030772,0.54334325
smog,10,pred-xgb_pinned_rh,0.15924338,0.49638918,0.5796217
smog,10,pred-xgb_pinned_rl,0.15943089,0.49649286,0.5797155
smog,10,pred-xgb_pinned_rt,0.03870549,0.43628946,0.51935273
smog,10,pred-xgb_rh,0.1595664,0.49654618,0.5797832
smog,10,pred-xgb_rl,0.15976292,0.49665326,0.5798814
smog,10,pred-xgb_rt,0.03178488,0.4330264,0.51589245
smog,10,random_pinned_rh,0.07217061,0.45253915,0.5360853
smog,10,random_pinned_rl,0.028881127,0.43116933,0.5144406
smog,10,random_pinned_rt,0.0062286793,0.4203597,0.50311434
smog,10,random_rh,0.021506168,0.4273878,0.51075304
smog,10,random_rl,-0.04828604,0.39356005,0.47585696
smog,10,random_rt,-0.027814738,0.40379152,0.48609263
smog,10,rev-chron_pinned_rh,0.076050185,0.4545151,0.53802514
smog,10,rev-chron_pinned_rl,0.017954169,0.4263615,0.5089771
smog,10,rev-chron_pinned_rt,0.021762114,0.42793906,0.51088107
smog,10,rev-chron_rh,0.03509439,0.4342595,0.5175472
smog,10,rev-chron_rl,-0.056892496,0.39007562,0.47155374
smog,10,rev-chron_rt,0.010605522,0.42238808,0.5053027
lexdiv,N,chron_pinned_rh,0.10756361,0.46654588,0.5502668
lexdiv,N,chron_pinned_rl,-0.039608937,0.42978773,0.5062358
lexdiv,N,chron_pinned_rt,-0.033692572,0.41335177,0.4932665
lexdiv,N,chron_rh,0.102386884,0.4253205,0.51643544
lexdiv,N,chron_rl,-0.048741717,0.38140997,0.4657979
lexdiv,N,chron_rt,-0.049809244,0.3752421,0.46009043
lexdiv,N,least-neg-abs_pinned_rh,0.11191599,0.4854826,0.56575334
lexdiv,N,least-neg-abs_pinned_rl,-0.037386853,0.45125496,0.5237927
lexdiv,N,least-neg-abs_pinned_rt,-0.009987055,0.40855378,0.49180713
lexdiv,N,least-neg-abs_rh,0.107441306,0.4641144,0.54860127
lexdiv,N,least-neg-abs_rl,-0.05052699,0.42505798,0.50177646
lexdiv,N,least-neg-abs_rt,-0.027664797,0.37377384,0.46070805
lexdiv,N,neg-abs_pinned_rh,0.13169636,0.5036321,0.5822829
lexdiv,N,neg-abs_pinned_rl,0.1224628,0.4940333,0.5738461
lexdiv,N,neg-abs_pinned_rt,0.051177394,0.44216695,0.52512634
lexdiv,N,neg-abs_rh,0.1297914,0.48850122,0.57046384
lexdiv,N,neg-abs_rl,0.11908697,0.4743588,0.5582255
lexdiv,N,neg-abs_rt,0.04350132,0.4263007,0.511356
lexdiv,N,pin-pred-lr_pinned_rh,0.15787089,0.5404299,0.61318445
lexdiv,N,pin-pred-lr_pinned_rl,0.2405273,0.55720085,0.63384515
lexdiv,N,pin-pred-lr_pinned_rt,0.11152281,0.47343946,0.5562997
lexdiv,N,pin-pred-lr_rh,0.15782711,0.5403417,0.61310947
lexdiv,N,pin-pred-lr_rl,0.24046944,0.5571119,0.63377005
lexdiv,N,pin-pred-lr_rt,0.11179226,0.4772152,0.5594123
lexdiv,N,pin-pred-xgb_pinned_rh,0.1679072,0.5462071,0.6185996
lexdiv,N,pin-pred-xgb_pinned_rl,0.36772826,0.58896506,0.669409
lexdiv,N,pin-pred-xgb_pinned_rt,0.14344794,0.48229092,0.5661745
lexdiv,N,pin-pred-xgb_rh,0.1678979,0.5467762,0.61903185
lexdiv,N,pin-pred-xgb_rl,0.36771986,0.5895348,0.6698431
lexdiv,N,pin-pred-xgb_rt,0.14379679,0.48573953,0.568978
lexdiv,N,pos-abs_pinned_rh,0.1375499,0.51018554,0.58807284
lexdiv,N,pos-abs_pinned_rl,0.16165899,0.5113067,0.59108925
lexdiv,N,pos-abs_pinned_rt,0.057603795,0.4501899,0.53240037
lexdiv,N,pos-abs_rh,0.13682605,0.50478846,0.58389264
lexdiv,N,pos-abs_rl,0.1606287,0.5052635,0.5863783
lexdiv,N,pos-abs_rt,0.05455518,0.44367787,0.5268475
lexdiv,N,pos-rel_pinned_rh,0.13287346,0.5081901,0.5860474
lexdiv,N,pos-rel_pinned_rl,0.0993974,0.49760976,0.5744724
lexdiv,N,pos-rel_pinned_rt,0.04424682,0.44730294,0.5287665
lexdiv,N,pos-rel_rh,0.13185927,0.5017664,0.5810401
lexdiv,N,pos-rel_rl,0.09710186,0.49026176,0.5686241
lexdiv,N,pos-rel_rt,0.039604466,0.43998304,0.52242833
lexdiv,N,pred-nb_pinned_rh,0.17689008,0.5772731,0.64220667
lexdiv,N,pred-nb_pinned_rl,0.24303502,0.5910824,0.6588332
lexdiv,N,pred-nb_pinned_rt,0.12664919,0.48859346,0.5696183
lexdiv,N,pred-nb_rh,0.17730571,0.5824633,0.64610034
lexdiv,N,pred-nb_rl,0.24345037,0.5962729,0.662725
lexdiv,N,pred-nb_rt,0.12755065,0.49659383,0.57610255
lexdiv,N,pred-xgb_pinned_rh,0.16100399,0.5390623,0.61256444
lexdiv,N,pred-xgb_pinned_rl,0.23943831,0.5556444,0.6325004
lexdiv,N,pred-xgb_pinned_rt,0.08199976,0.46427006,0.54600203
lexdiv,N,pred-xgb_rh,0.16069816,0.53714055,0.6111367
lexdiv,N,pred-xgb_rl,0.23865323,0.55363846,0.6309649
lexdiv,N,pred-xgb_rt,0.07946539,0.45997083,0.5422656
lexdiv,N,random_pinned_rh,0.118599676,0.4911052,0.57114047
lexdiv,N,random_pinned_rl,0.011633712,0.44905844,0.52733564
lexdiv,N,random_pinned_rt,0.01989686,0.43686894,0.5180562
lexdiv,N,random_rh,0.11342621,0.46013138,0.54622346
lexdiv,N,random_rl,-0.002087055,0.40650025,0.49172372
lexdiv,N,random_rt,0.007703097,0.41480595,0.4990251
lexdiv,N,rev-chron_pinned_rh,0.1251797,0.49405167,0.5738861
lexdiv,N,rev-chron_pinned_rl,0.06461246,0.46237186,0.5424085
lexdiv,N,rev-chron_pinned_rt,0.07401276,0.45675695,0.5392731
lexdiv,N,rev-chron_rh,0.12025227,0.4689872,0.55374485
lexdiv,N,rev-chron_rl,0.048855156,0.42324555,0.5093511
lexdiv,N,rev-chron_rt,0.062375788,0.44717324,0.5305492
sentcomp,N,chron_pinned_rh,-0.0048312554,0.39746013,0.48152468
sentcomp,N,chron_pinned_rl,0.01772884,0.40159684,0.48716038
sentcomp,N,chron_pinned_rt,0.007299901,0.40013084,0.48501757
sentcomp,N,chron_rh,-0.004599688,0.4017094,0.4853951
sentcomp,N,chron_rl,0.018038454,0.4061479,0.49136987
sentcomp,N,chron_rt,0.007797433,0.40272248,0.48746514
sentcomp,N,least-neg-abs_pinned_rh,-0.0019716015,0.3947384,0.47959003
sentcomp,N,least-neg-abs_pinned_rl,0.032595348,0.3996906,0.48688102
sentcomp,N,least-neg-abs_pinned_rt,-0.026855681,0.37600774,0.4615836
sentcomp,N,least-neg-abs_rh,-0.001348896,0.3989647,0.48347095
sentcomp,N,least-neg-abs_rl,0.03355496,0.40402249,0.49089238
sentcomp,N,least-neg-abs_rt,0.033455234,0.41589758,0.5010673
sentcomp,N,neg-abs_pinned_rh,-0.018724423,0.37403473,0.46030417
sentcomp,N,neg-abs_pinned_rl,-0.038939387,0.37003466,0.45527592
sentcomp,N,neg-abs_pinned_rt,-0.032046586,0.38136262,0.4656433
sentcomp,N,neg-abs_rh,-0.019954363,0.3663092,0.45363617
sentcomp,N,neg-abs_rl,-0.040496647,0.3622695,0.44858122
sentcomp,N,neg-abs_rt,-0.03602608,0.37322512,0.45833355
sentcomp,N,pin-pred-lr_pinned_rh,-0.009106905,0.3887065,0.47337705
sentcomp,N,pin-pred-lr_pinned_rl,-0.017289773,0.38723925,0.4713495
sentcomp,N,pin-pred-lr_pinned_rt,-0.0034995489,0.39493617,0.47968966
sentcomp,N,pin-pred-lr_rh,-0.009027198,0.38910168,0.47362253
sentcomp,N,pin-pred-lr_rl,-0.017215589,0.38761345,0.47157544
sentcomp,N,pin-pred-lr_rt,-0.0031697133,0.39548704,0.48011225
sentcomp,N,pin-pred-xgb_pinned_rh,-0.018864334,0.38483274,0.46938485
sentcomp,N,pin-pred-xgb_pinned_rl,-0.05341819,0.37880588,0.46103033
sentcomp,N,pin-pred-xgb_pinned_rt,-0.032651093,0.38774675,0.47094068
sentcomp,N,pin-pred-xgb_rh,-0.01871579,0.38624972,0.47054496
sentcomp,N,pin-pred-xgb_rl,-0.053271268,0.38023388,0.46219924
sentcomp,N,pin-pred-xgb_rt,-0.032165226,0.39053223,0.47332767
sentcomp,N,pos-abs_pinned_rh,-0.014092249,0.38492873,0.469868
sentcomp,N,pos-abs_pinned_rl,-0.014680259,0.3839235,0.46903294
sentcomp,N,pos-abs_pinned_rt,-0.008876229,0.393359,0.477832
sentcomp,N,pos-abs_rh,-0.014313749,0.3831105,0.46830797
sentcomp,N,pos-abs_rl,-0.0149860345,0.38189328,0.4672887
sentcomp,N,pos-abs_rt,-0.008848944,0.3931895,0.4778305
sentcomp,N,pos-rel_pinned_rh,-0.010556228,0.38719323,0.47213647
sentcomp,N,pos-rel_pinned_rl,0.007951062,0.3893924,0.4757123
sentcomp,N,pos-rel_pinned_rt,0.008886446,0.39765093,0.48300192
sentcomp,N,pos-rel_rh,-0.010665787,0.38593528,0.4710785
sentcomp,N,pos-rel_rl,0.00788088,0.38777038,0.47435832
sentcomp,N,pos-rel_rt,0.009647276,0.39796066,0.48345003
sentcomp,N,pred-nb_pinned_rh,-0.02767282,0.36071816,0.4477055
sentcomp,N,pred-nb_pinned_rl,-0.028493341,0.36063832,0.44748324
sentcomp,N,pred-nb_pinned_rt,-0.042508766,0.37757337,0.4613061
sentcomp,N,pred-nb_rh,-0.027956553,0.357525,0.44496745
sentcomp,N,pred-nb_rl,-0.028777083,0.357446,0.44474515
sentcomp,N,pred-nb_rt,-0.043490823,0.37072948,0.4553531
sentcomp,N,pred-xgb_pinned_rh,-0.024415694,0.3679118,0.45408922
